NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),동,층,매수자,매도자,건축년도,도로명,해제사유발생일,거래유형,중개사소재지,등기일자
1,서울특별시 중구 신당동,842,842,0,약수하이츠,114.92,202505,7,"152,000",,10,개인,개인,1999,동호로10길 30,20250701.0,중개거래,서울 중구,
2,서울특별시 중구 회현동1가,206,206,0,SK리더스뷰남산,205.62,202505,7,"290,000",메이플,20,개인,개인,2010,퇴계로 72,,중개거래,"서울 성북구, 서울 중구",25.10.31
3,서울특별시 중구 신당동,842,842,0,약수하이츠,114.92,202505,7,"152,000",104,10,개인,개인,1999,동호로10길 30,,중개거래,서울 중구,25.08.29
4,서울특별시 중구 회현동2가,87,87,0,쌍용남산플래티넘,177.0,202505,7,"295,000",B동,26,개인,개인,2010,소공로 46,,중개거래,서울 강남구,25.08.28
5,서울특별시 중구 신당동,842,842,0,약수하이츠,114.92,202505,7,"152,000",,10,개인,개인,1999,동호로10길 30,20250703.0,중개거래,서울 중구,
6,서울특별시 중구 회현동1가,208,208,0,남산롯데캐슬아이리스,133.98,202505,7,"210,000",102,30,개인,개인,2011,소공로 35,,중개거래,서울 중구,25.08.05
7,서울특별시 중구 중림동,200,200,0,삼성사이버빌리지,84.95,202505,6,"147,000",102,4,개인,개인,2001,중림로 10,,중개거래,서울 중구,25.07.14
8,서울특별시 중구 중림동,200,200,0,삼성사이버빌리지,84.95,202505,6,"147,000",,4,개인,개인,2001,중림로 10,20250527.0,중개거래,서울 중구,
9,서울특별시 중구 만리동1가,231,231,0,LIG서울역리가,84.9866,202505,6,"145,000",102,12,개인,개인,2012,만리재로33길 21,,중개거래,서울 중구,25.07.02
10,서울특별시 중구 중림동,355,355,0,브라운스톤서울,117.742,202505,6,"175,000",,19,개인,개인,2006,청파로 464,,중개거래,서울 중구,25.08.08
11,서울특별시 중구 중림동,355,355,0,브라운스톤서울,117.742,202505,6,"175,000",,19,개인,개인,2006,청파로 464,20250523.0,중개거래,서울 중구,
12,서울특별시 중구 만리동2가,273,273,0,서울역센트럴자이,59.943,202505,5,"160,000",102,20,개인,개인,2017,만리재로 175,,중개거래,서울 중구,25.09.01
13,서울특별시 중구 신당동,843,843,0,삼성,59.98,202505,3,"104,500",103,12,개인,개인,1999,청구로1길 23,,중개거래,서울 중구,25.05.13
14,서울특별시 중구 만리동2가,273,273,0,서울역센트럴자이,84.972,202505,3,"182,500",110,12,개인,개인,2017,만리재로 175,,중개거래,서울 용산구,25.07.31
15,서울특별시 중구 신당동,842,842,0,약수하이츠,57.63,202505,2,"101,300",113,9,개인,개인,1999,동호로10길 30,,중개거래,서울 중구,25.09.23
16,서울특별시 중구 순화동,215,215,0,바비엥3,69.29,202505,1,"59,500",바비엥3,15,개인,개인,2006,통일로 86,,중개거래,서울 중구,25.06.10
17,서울특별시 중구 신당동,844,844,0,남산타운,84.88,202505,1,"131,500",6,4,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.07.31
18,서울특별시 중구 황학동,1200,1200,0,위너빌(Winnervill),28.55,202505,1,"37,000",주건축물제1동,7,개인,개인,2018,마장로14길 11,,중개거래,경기 성남시 수정구,25.05.30
19,서울특별시 중구 황학동,2545,2545,0,롯데캐슬,59.94,202505,1,"86,000",,21,개인,개인,2008,청계천로 400,20250514.0,중개거래,"서울 성동구, 서울 중구",
20,서울특별시 중구 회현동1가,208,208,0,남산롯데캐슬아이리스,176.42,202505,1,"250,000",101,30,개인,개인,2011,소공로 35,,중개거래,서울 중구,25.07.29
21,서울특별시 중구 황학동,2545,2545,0,롯데캐슬,59.94,202505,1,"86,000",101,21,개인,개인,2008,청계천로 400,,중개거래,"서울 성동구, 서울 중구",25.07.08
22,서울특별시 중구 신당동,851,851,0,래미안하이베르,84.97,202505,1,"134,500",112,8,개인,개인,2011,퇴계로90길 74,,중개거래,서울 중구,25.07.23
23,서울특별시 중구 신당동,843,843,0,삼성,84.96,202504,30,"119,000",113,4,개인,개인,1999,청구로1길 23,,중개거래,"서울 성동구, 서울 중구",25.06.23
24,서울특별시 중구 만리동2가,288,288,0,서울역한라비발디센트럴,84.9728,202504,30,"154,000",101,6,개인,개인,2018,만리재로 177,,중개거래,"서울 서대문구, 서울 중구",25.06.18
25,서울특별시 중구 황학동,2545,2545,0,롯데캐슬,59.94,202504,30,"83,000",103,10,개인,개인,2008,청계천로 400,,중개거래,서울 중구,25.06.12
26,서울특별시 중구 신당동,432-657,432,657,명경,59.71,202504,29,"34,700",,5,개인,개인,2002,동호로11마길 5,,중개거래,서울 중구,25.07.30
27,서울특별시 중구 신당동,857,857,0,약수역더시티,19.06,202504,29,"26,000",1,10,개인,개인,2021,동호로7길 14,,직거래,,25.05.15
28,서울특별시 중구 만리동2가,273,273,0,서울역센트럴자이,59.9808,202504,29,"159,500",101,8,개인,개인,2017,만리재로 175,,중개거래,서울 중구,25.07.25
29,서울특별시 중구 흥인동,3-4,3,4,우일타운,69.39,202504,28,"58,000",,11,개인,개인,1994,다산로 274,,중개거래,서울 중구,25.05.28
30,서울특별시 중구 신당동,851,851,0,래미안하이베르,84.85,202504,28,"136,000",112,9,개인,개인,2011,퇴계로90길 74,,중개거래,서울 중구,25.08.28
31,서울특별시 중구 신당동,840,840,0,현대,66.6,202504,28,"89,500",7,2,개인,개인,1993,다산로36길 109,,중개거래,서울 성동구,25.07.30
32,서울특별시 중구 정동,37,37,0,삼정아트테라스정동,22.0989,202504,26,"45,000",1동,7,개인,개인,2020,서소문로 89-20,,직거래,,25.06.26
33,서울특별시 중구 신당동,845,845,0,한진해모로,59.76,202504,26,"83,500",102,5,개인,개인,2001,왕십리로39길 30,,중개거래,서울 성동구,25.06.30
34,서울특별시 중구 신당동,845,845,0,한진해모로,59.76,202504,26,"81,500",,5,개인,개인,2001,왕십리로39길 30,20250430.0,중개거래,서울 성동구,
35,서울특별시 중구 묵정동,35,35,0,힐스테이트남산,46.65,202504,26,"84,800",102동,8,개인,개인,2024,퇴계로46길 26,,중개거래,서울 중구,25.05.29
36,서울특별시 중구 신당동,851,851,0,래미안하이베르,84.98,202504,26,"132,000",110,10,개인,개인,2011,퇴계로90길 74,,중개거래,서울 중구,25.07.25
37,서울특별시 중구 신당동,845,845,0,한진해모로,59.76,202504,26,"81,500",102,5,개인,개인,2001,왕십리로39길 30,,중개거래,서울 성동구,25.06.20
38,서울특별시 중구 신당동,856,856,0,신당KCC스위첸,59.4458,202504,25,"109,000",101,7,개인,개인,2019,난계로 130,,중개거래,"서울 성동구, 서울 중구",25.07.23
39,서울특별시 중구 신당동,844,844,0,남산타운,84.88,202504,25,"134,000",,11,개인,개인,2002,다산로 32,20250520.0,중개거래,서울 중구,
40,서울특별시 중구 신당동,844,844,0,남산타운,114.88,202504,25,"163,000",11,17,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.07.31
41,서울특별시 중구 신당동,857,857,0,약수역더시티,19.06,202504,25,"24,500",1,4,개인,개인,2021,동호로7길 14,,중개거래,서울 중구,25.07.10
42,서울특별시 중구 순화동,217,217,0,덕수궁롯데캐슬,56.2897,202504,25,"95,250",101,4,개인,개인,2016,서소문로9길 28,,중개거래,서울 중구,25.10.31
43,서울특별시 중구 신당동,844,844,0,남산타운,84.88,202504,25,"134,000",8,11,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.07.31
44,서울특별시 중구 신당동,843,843,0,삼성,59.98,202504,24,"104,300",106,7,개인,개인,1999,청구로1길 23,,중개거래,서울 중구,25.06.24
45,서울특별시 중구 회현동2가,87,87,0,쌍용남산플래티넘,158.97,202504,23,"215,000",B동,10,개인,개인,2010,소공로 46,,중개거래,서울 중구,25.06.09
46,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202504,23,"109,500",25,7,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.07.30
47,서울특별시 중구 신당동,857,857,0,약수역더시티,18.3,202504,23,"27,000",1,11,개인,개인,2021,동호로7길 14,,직거래,,25.04.29
48,서울특별시 중구 신당동,851,851,0,래미안하이베르,84.98,202504,23,"129,700",109,5,개인,개인,2011,퇴계로90길 74,,중개거래,서울 중구,25.07.08
49,서울특별시 중구 신당동,842,842,0,약수하이츠,65.37,202504,23,"100,000",114,1,개인,개인,1999,동호로10길 30,,중개거래,"서울 서초구, 서울 중구",25.07.31
50,서울특별시 중구 신당동,856,856,0,신당KCC스위첸,72.1079,202504,22,"117,750",102,7,개인,개인,2019,난계로 130,,중개거래,서울 성동구,25.06.27
51,서울특별시 중구 신당동,856,856,0,신당KCC스위첸,72.1079,202504,22,"117,750",,7,개인,개인,2019,난계로 130,20250620.0,중개거래,서울 성동구,
52,서울특별시 중구 신당동,856,856,0,신당KCC스위첸,72.1079,202504,22,"117,750",,7,개인,개인,2019,난계로 130,20250623.0,중개거래,서울 성동구,
53,서울특별시 중구 신당동,856,856,0,신당KCC스위첸,72.1079,202504,22,"117,750",,7,개인,개인,2019,난계로 130,20250621.0,중개거래,서울 성동구,
54,서울특별시 중구 황학동,1200,1200,0,위너빌(Winnervill),29.79,202504,22,"37,000",주건축물제1동,7,개인,개인,2018,마장로14길 11,,중개거래,경기 성남시 수정구,25.05.20
55,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202504,22,"112,000",2,14,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.07.14
56,서울특별시 중구 신당동,850,850,0,신당푸르지오,145.1,202504,21,"123,000",103,13,개인,개인,2005,다산로36길 110,,중개거래,서울 중구,25.05.15
57,서울특별시 중구 흥인동,13-1,13,1,청계천두산위브더제니스,124.1323,202504,21,"158,000",청계천 두산위브더제니스,11,개인,개인,2014,다산로46길 17,,중개거래,서울 중구,25.07.24
58,서울특별시 중구 입정동,280,280,0,힐스테이트세운센트럴2단지,59.9851,202504,20,"129,000",힐스테이트 세운 센트럴 2단지,21,개인,개인,2023,을지로15길 32,,중개거래,서울 중구,25.07.25
59,서울특별시 중구 신당동,851,851,0,래미안하이베르,59.74,202504,20,"114,000",111,2,개인,개인,2011,퇴계로90길 74,,중개거래,"경기 하남시, 서울 중구",25.07.23
60,서울특별시 중구 신당동,842,842,0,약수하이츠,57.63,202504,20,"92,000",116,13,개인,개인,1999,동호로10길 30,,중개거래,서울 중구,25.08.12
61,서울특별시 중구 신당동,840,840,0,현대,79.11,202504,19,"89,500",10,7,개인,개인,1993,다산로36길 109,,중개거래,서울 중구,25.06.27
62,서울특별시 중구 신당동,846,846,0,신당동파라다이스,84.77,202504,19,"83,000",,5,개인,개인,2000,다산로42나길 46,,중개거래,서울 중구,25.08.01
63,서울특별시 중구 만리동2가,273,273,0,서울역센트럴자이,59.943,202504,19,"160,500",101,15,개인,개인,2017,만리재로 175,,중개거래,서울 중구,25.06.30
64,서울특별시 중구 만리동2가,288,288,0,서울역한라비발디센트럴,84.9774,202504,19,"153,000",101,12,개인,개인,2018,만리재로 177,,중개거래,서울 중구,25.07.28
65,서울특별시 중구 묵정동,11-67,11,67,묵정,52.46,202504,19,"52,500",,8,개인,개인,1981,서애로1길 34,,중개거래,서울 중구,25.06.30
66,서울특별시 중구 신당동,846,846,0,신당동파라다이스,59.9,202504,19,"72,000",,2,개인,개인,2000,다산로42나길 46,,중개거래,"서울 성동구, 서울 중구",25.07.07
67,서울특별시 중구 신당동,842,842,0,약수하이츠,65.37,202504,18,"92,000",114,1,개인,개인,1999,동호로10길 30,,중개거래,서울 성동구,25.06.17
68,서울특별시 중구 신당동,842,842,0,약수하이츠,65.37,202504,18,"103,000",110,3,개인,개인,1999,동호로10길 30,,중개거래,서울 중구,25.07.30
69,서울특별시 중구 신당동,856,856,0,신당KCC스위첸,59.4458,202504,18,"105,000",101,1,개인,개인,2019,난계로 130,,중개거래,서울 중구,25.07.14
70,서울특별시 중구 신당동,844,844,0,남산타운,84.88,202504,18,"131,500",7,14,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.06.30
71,서울특별시 중구 신당동,843,843,0,삼성,84.96,202504,17,"113,000",110,18,개인,개인,1999,청구로1길 23,,중개거래,서울 중구,25.06.30
72,서울특별시 중구 신당동,842,842,0,약수하이츠,114.92,202504,17,"147,000",111,11,개인,개인,1999,동호로10길 30,,중개거래,"서울 강남구, 서울 중구",25.08.01
73,서울특별시 중구 신당동,844,844,0,남산타운,114.88,202504,16,"161,500",13,16,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.07.11
74,서울특별시 중구 흥인동,119,119,0,동대문와이즈캐슬,15.55,202504,16,"14,000",,11,개인,개인,2014,퇴계로75길 7,20250522.0,중개거래,서울 중구,
75,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202504,16,"110,000",20,16,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.06.18
76,서울특별시 중구 흥인동,119,119,0,동대문와이즈캐슬,15.55,202504,16,"14,000",,11,개인,개인,2014,퇴계로75길 7,,중개거래,서울 중구,25.05.26
77,서울특별시 중구 신당동,843,843,0,삼성,59.98,202504,16,"103,000",109,2,개인,개인,1999,청구로1길 23,,중개거래,서울 중구,25.07.31
78,서울특별시 중구 신당동,840,840,0,현대,139.275,202504,15,"125,000",2,4,개인,개인,1993,다산로36길 109,,중개거래,서울 중구,25.08.05
79,서울특별시 중구 신당동,844,844,0,남산타운,114.88,202504,15,"157,000",23,9,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.07.30
80,서울특별시 중구 충무로5가,36-2,36,2,충무로엘크루메크로시티2차,22.75,202504,15,"21,600",충무로엘크루메트로시티2,13,개인,개인,2016,퇴계로49길 14,,중개거래,서울 중구,25.08.07
81,서울특별시 중구 신당동,840,840,0,현대,139.275,202504,15,"125,000",,4,개인,개인,1993,다산로36길 109,20250501.0,중개거래,서울 중구,
82,서울특별시 중구 황학동,819,819,0,DUO302,15.97,202504,14,"16,000",,7,개인,개인,2014,난계로 169,,중개거래,서울 중구,25.06.27
83,서울특별시 중구 신당동,844,844,0,남산타운,114.88,202504,14,"158,500",23,8,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.06.20
84,서울특별시 중구 황학동,2545,2545,0,롯데캐슬,84.97,202504,14,"75,000",105,22,개인,개인,2008,청계천로 400,,직거래,,25.04.29
85,서울특별시 중구 신당동,851,851,0,래미안하이베르,84.98,202504,14,"134,700",102,8,개인,개인,2011,퇴계로90길 74,,중개거래,서울 중구,25.06.30
86,서울특별시 중구 신당동,842,842,0,약수하이츠,84.88,202504,14,"121,500",113,1,개인,개인,1999,동호로10길 30,,중개거래,서울 중구,25.08.01
87,서울특별시 중구 신당동,842,842,0,약수하이츠,57.63,202504,13,"101,500",113,5,개인,개인,1999,동호로10길 30,,중개거래,서울 중구,25.08.25
88,서울특별시 중구 신당동,856,856,0,신당KCC스위첸,72.9906,202504,12,"120,000",103,8,개인,개인,2019,난계로 130,,중개거래,서울 중구,25.08.07
89,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202504,12,"110,000",2,2,개인,개인,2002,다산로 32,,중개거래,"서울 금천구, 서울 중구",25.07.03
90,서울특별시 중구 중림동,200,200,0,삼성사이버빌리지,84.95,202504,12,"146,500",112,5,개인,개인,2001,중림로 10,,중개거래,"서울 용산구, 서울 중구",25.07.18
91,서울특별시 중구 묵정동,35,35,0,힐스테이트남산,38.95,202504,12,"76,000",102동,9,개인,개인,2024,퇴계로46길 26,,중개거래,서울 중구,25.06.13
92,서울특별시 중구 신당동,851,851,0,래미안하이베르,59.95,202504,11,"114,000",111,10,개인,개인,2011,퇴계로90길 74,,중개거래,서울 중구,25.08.01
93,서울특별시 중구 신당동,851,851,0,래미안하이베르,59.95,202504,11,"114,000",,10,개인,개인,2011,퇴계로90길 74,20250624.0,중개거래,서울 중구,
94,서울특별시 중구 회현동1가,206,206,0,SK리더스뷰남산,176.26,202504,11,"187,500",윌로우,4,개인,개인,2010,퇴계로 72,,중개거래,서울 중구,25.05.08
95,서울특별시 중구 남창동,205-44,205,44,경서,56.11,202504,10,"39,000",,4,개인,개인,1970,퇴계로2길 15-6,,중개거래,서울 중구,25.04.15
96,서울특별시 중구 충무로5가,36-2,36,2,충무로엘크루메크로시티2차,22.75,202504,10,"21,000",충무로엘크루메트로시티2,2,개인,개인,2016,퇴계로49길 14,,직거래,,25.04.16
97,서울특별시 중구 묵정동,35,35,0,힐스테이트남산,44.55,202504,10,"83,000",,5,개인,개인,2024,퇴계로46길 26,20250416.0,중개거래,서울 중구,
98,서울특별시 중구 묵정동,35,35,0,힐스테이트남산,44.55,202504,10,"83,000",102동,5,개인,개인,2024,퇴계로46길 26,,중개거래,"서울 도봉구, 서울 중구",25.05.08
99,서울특별시 중구 신당동,840,840,0,현대,83.97,202504,10,"90,000",7,11,개인,개인,1993,다산로36길 109,,중개거래,서울 중구,25.06.18
100,서울특별시 중구 신당동,844,844,0,남산타운,84.88,202504,9,"120,000",8,3,개인,개인,2002,다산로 32,,중개거래,서울 영등포구,25.06.04
101,서울특별시 중구 신당동,842,842,0,약수하이츠,84.88,202504,9,"124,000",113,4,개인,개인,1999,동호로10길 30,,중개거래,서울 중구,25.07.14
102,서울특별시 중구 묵정동,11-67,11,67,묵정,52.46,202504,9,"38,000",,4,개인,개인,1981,서애로1길 34,,중개거래,서울 중구,25.06.11
103,서울특별시 중구 회현동1가,206,206,0,SK리더스뷰남산,205.62,202504,8,"280,000",메이플,26,개인,개인,2010,퇴계로 72,,중개거래,서울 중구,25.10.15
104,서울특별시 중구 만리동2가,273,273,0,서울역센트럴자이,72.9733,202504,8,"168,500",112,20,개인,개인,2017,만리재로 175,,중개거래,서울 중구,25.06.17
105,서울특별시 중구 황학동,2015,2015,0,청계리버팰리스B,25.5,202504,7,"28,000",,11,개인,개인,2018,난계로17길 58-8,20250620.0,중개거래,서울 성동구,
106,서울특별시 중구 회현동2가,87,87,0,쌍용남산플래티넘,166.24,202504,7,"203,000",A동,15,개인,개인,2010,소공로 46,,중개거래,서울 중구,25.06.05
107,서울특별시 중구 신당동,842,842,0,약수하이츠,57.63,202504,7,"102,000",113,4,개인,법인,1999,동호로10길 30,,중개거래,"서울 서초구, 서울 성동구",25.06.27
108,서울특별시 중구 황학동,2015,2015,0,청계리버팰리스B,25.5,202504,7,"28,000",청계리버팰리스B,11,개인,개인,2018,난계로17길 58-8,,중개거래,서울 성동구,25.07.03
109,서울특별시 중구 황학동,2015,2015,0,청계리버팰리스B,25.5,202504,7,"28,000",,11,개인,개인,2018,난계로17길 58-8,20250512.0,중개거래,서울 성동구,
110,서울특별시 중구 황학동,2015,2015,0,청계리버팰리스B,25.5,202504,7,"28,000",,11,개인,개인,2018,난계로17길 58-8,20250407.0,중개거래,서울 성동구,
111,서울특별시 중구 황학동,2015,2015,0,청계리버팰리스B,25.5,202504,7,"28,000",,11,개인,개인,2018,난계로17길 58-8,20250408.0,중개거래,서울 성동구,
112,서울특별시 중구 황학동,2015,2015,0,청계리버팰리스B,25.5,202504,7,"28,000",,11,개인,개인,2018,난계로17길 58-8,20250620.0,중개거래,서울 성동구,
113,서울특별시 중구 순화동,215,215,0,바비엥3,70.46,202504,6,"60,000",바비엥3,15,개인,개인,2006,통일로 86,,중개거래,"서울 중구, 인천 계양구",25.04.11
114,서울특별시 중구 신당동,851,851,0,래미안하이베르,84.97,202504,5,"126,800",114,6,개인,개인,2011,퇴계로90길 74,,중개거래,서울 중구,25.06.05
115,서울특별시 중구 만리동2가,273,273,0,서울역센트럴자이,84.972,202504,5,"180,000",107,18,개인,개인,2017,만리재로 175,,중개거래,"서울 서대문구, 서울 중구",25.06.26
116,서울특별시 중구 신당동,851,851,0,래미안하이베르,59.95,202504,5,"106,000",106,2,개인,개인,2011,퇴계로90길 74,,중개거래,서울 성동구,25.06.13
117,서울특별시 중구 충무로5가,90,90,0,충무로헤센스마트,19.76,202504,5,"22,900",충무로 헤센 스마트,4,개인,개인,2018,서애로1길 11,,중개거래,서울 중구,25.05.26
118,서울특별시 중구 황학동,2545,2545,0,롯데캐슬,59.94,202504,5,"88,200",105,27,개인,개인,2008,청계천로 400,,중개거래,서울 중구,25.07.14
119,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202504,5,"105,000",2,3,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.06.23
120,서울특별시 중구 신당동,851,851,0,래미안하이베르,84.85,202504,5,"129,800",114,15,개인,개인,2011,퇴계로90길 74,,중개거래,서울 중구,25.07.31
121,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202504,4,"105,900",2,2,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.06.02
122,서울특별시 중구 황학동,2545,2545,0,롯데캐슬,84.89,202504,4,"104,500",101,29,개인,개인,2008,청계천로 400,,중개거래,서울 중구,25.06.19
123,서울특별시 중구 신당동,844,844,0,남산타운,84.88,202504,3,"135,000",41,15,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.07.04
124,서울특별시 중구 만리동2가,273,273,0,서울역센트럴자이,84.972,202504,3,"183,000",103,12,개인,개인,2017,만리재로 175,,중개거래,서울 중구,25.07.23
125,서울특별시 중구 신당동,842,842,0,약수하이츠,57.63,202504,2,"95,000",116,15,개인,개인,1999,동호로10길 30,,중개거래,서울 중구,25.05.30
126,서울특별시 중구 흥인동,13-1,13,1,청계천두산위브더제니스,124.1323,202504,2,"153,000",청계천 두산위브더제니스,14,개인,개인,2014,다산로46길 17,,중개거래,서울 중구,25.07.10
127,서울특별시 중구 장충동1가,105-1,105,1,장충동라임카운티,244.47,202504,2,"271,000",,3,개인,개인,2000,동호로20가길 38,20250403.0,중개거래,서울 용산구,
128,서울특별시 중구 장충동1가,105-1,105,1,장충동라임카운티,244.47,202504,2,"271,000",,3,개인,개인,2000,동호로20가길 38,,중개거래,서울 용산구,25.04.04
129,서울특별시 중구 황학동,2545,2545,0,롯데캐슬,84.97,202504,1,"105,800",104,12,개인,개인,2008,청계천로 400,,중개거래,"서울 성동구, 서울 중구",25.06.27
130,서울특별시 중구 묵정동,11-2,11,2,충무,67.77,202504,1,"73,000",,9,개인,개인,1982,퇴계로50길 42,,중개거래,서울 중구,25.05.12
131,서울특별시 중구 흥인동,13-1,13,1,청계천두산위브더제니스,124.1323,202504,1,"158,000",,11,개인,개인,2014,다산로46길 17,20250509.0,중개거래,서울 중구,
132,서울특별시 중구 황학동,2545,2545,0,롯데캐슬,84.97,202503,31,"107,000",103,17,개인,개인,2008,청계천로 400,,중개거래,"서울 성동구, 서울 중구",25.06.26
133,서울특별시 중구 신당동,843,843,0,삼성,114.91,202503,31,"129,800",105,17,개인,개인,1999,청구로1길 23,,중개거래,서울 중구,25.08.04
134,서울특별시 중구 신당동,844,844,0,남산타운,114.88,202503,31,"155,000",23,12,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.08.27
135,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202503,31,"72,000",21,4,개인,개인,2002,다산로 32,,직거래,,25.04.25
136,서울특별시 중구 중림동,200,200,0,삼성사이버빌리지,84.93,202503,31,"142,500",104,10,개인,개인,2001,중림로 10,,중개거래,서울 중구,25.05.09
137,서울특별시 중구 신당동,842,842,0,약수하이츠,65.37,202503,29,"113,000",110,2,개인,개인,1999,동호로10길 30,,중개거래,서울 중구,25.07.30
138,서울특별시 중구 신당동,842,842,0,약수하이츠,114.92,202503,29,"145,000",,17,개인,개인,1999,동호로10길 30,20250414.0,중개거래,서울 중구,
139,서울특별시 중구 신당동,843,843,0,삼성,84.96,202503,29,"118,000",110,19,개인,개인,1999,청구로1길 23,,중개거래,"서울 성동구, 서울 중구",25.06.30
140,서울특별시 중구 신당동,160-5,160,5,신당아르브,18.08,202503,29,"14,700",신당아르브,5,개인,개인,2014,난계로 151,,중개거래,서울 중구,25.04.07
141,서울특별시 중구 신당동,842,842,0,약수하이츠,57.63,202503,29,"114,000",109,10,개인,개인,1999,동호로10길 30,,중개거래,서울 중구,25.06.16
142,서울특별시 중구 신당동,294-12,294,12,타워,74.52,202503,29,"73,500",,7,개인,개인,2002,청구로6길 8,,중개거래,서울 중구,25.06.05
143,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202503,29,"109,000",3,3,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.05.29
144,서울특별시 중구 신당동,842,842,0,약수하이츠,114.92,202503,29,"145,000",112,17,개인,개인,1999,동호로10길 30,,중개거래,서울 중구,25.05.22
145,서울특별시 중구 신당동,842,842,0,약수하이츠,65.37,202503,29,"113,000",,2,개인,개인,1999,동호로10길 30,20250527.0,중개거래,서울 중구,
146,서울특별시 중구 신당동,842,842,0,약수하이츠,57.63,202503,29,"114,000",109,10,개인,개인,1999,동호로10길 30,,중개거래,서울 중구,25.06.16
147,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202503,29,"112,000",21,7,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.05.30
148,서울특별시 중구 만리동2가,288,288,0,서울역한라비발디센트럴,84.9774,202503,29,"145,000",102,4,개인,개인,2018,만리재로 177,,중개거래,서울 중구,25.08.25
149,서울특별시 중구 신당동,844,844,0,남산타운,84.88,202503,29,"133,000",24,7,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.06.27
150,서울특별시 중구 만리동2가,273,273,0,서울역센트럴자이,59.9808,202503,29,"150,000",104,11,개인,개인,2017,만리재로 175,,중개거래,서울 중구,25.07.18
151,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202503,29,"112,000",,7,개인,개인,2002,다산로 32,20250430.0,중개거래,서울 중구,
152,서울특별시 중구 신당동,432-1632,432,1632,프라임1,77.52,202503,28,"74,500",,4,개인,개인,2003,동호로17길 256-4,,중개거래,서울 중구,25.06.30
153,서울특별시 중구 신당동,842,842,0,약수하이츠,57.63,202503,28,"91,000",116,12,개인,개인,1999,동호로10길 30,,중개거래,서울 성동구,25.08.26
154,서울특별시 중구 황학동,2545,2545,0,롯데캐슬,59.94,202503,27,"88,000",105,21,개인,개인,2008,청계천로 400,,중개거래,"서울 성동구, 서울 중구",25.07.31
155,서울특별시 중구 황학동,2545,2545,0,롯데캐슬,84.97,202503,27,"108,500",101,23,개인,개인,2008,청계천로 400,,중개거래,서울 성동구,25.07.31
156,서울특별시 중구 중림동,200,200,0,삼성사이버빌리지,114.77,202503,26,"174,500",109,6,개인,개인,2001,중림로 10,,중개거래,서울 중구,25.06.19
157,서울특별시 중구 신당동,372-66,372,66,(372-66),63.9,202503,26,"59,000",다다유크레스,4,개인,개인,2010,동호로5길 12,,중개거래,서울 중구,25.05.30
158,서울특별시 중구 신당동,856,856,0,신당KCC스위첸,72.1079,202503,26,"115,000",102,4,개인,개인,2019,난계로 130,,중개거래,서울 성동구,25.12.30
159,서울특별시 중구 신당동,852,852,0,청구e편한세상,84.96,202503,25,"160,000",111,11,개인,개인,2011,청구로 64,,중개거래,서울 중구,25.11.07
160,서울특별시 중구 신당동,856,856,0,신당KCC스위첸,72.2733,202503,25,"119,000",102,9,개인,개인,2019,난계로 130,,중개거래,"경기 하남시, 서울 중구",25.04.30
161,서울특별시 중구 신당동,844,844,0,남산타운,59.94,202503,25,"114,000",3,17,개인,개인,2002,다산로 32,,중개거래,서울 중구,25.07.07
162,서울특별시 중구 신당동,852,852,0,청구e편한세상,84.95,202503,25,"161,500",112,7,개인,개인,2011,청구로 64,,중개거래,서울 중구,25.07.30
163,서울특별시 중구 순화동,217,217,0,덕수궁롯데캐슬,82.3212,202503,24,"165,000",102,7,개인,개인,2016,서소문로9길 28,,중개거래,"서울 종로구, 서울 중구",25.06.18
164,서울특별시 중구 신당동,851,851,0,래미안하이베르,59.95,202503,24,"112,000",106,8,개인,개인,2011,퇴계로90길 74,,중개거래,서울 성동구,25.05.27
